repo_name,creation_date,main_language,stars_count,merged_pr_count,release_version_count,last_modified_date,total_issue_count,closed_issue_count,issue_resolution_ratio,repository_age,days_since_last_modification
awesome-go,2014-07-06T13:42:15Z,Go,127438,3229,0,2024-08-22T22:40:44Z,646,644,0.9969040247678018,10,-1
fucking-algorithm,2020-02-19T09:01:23Z,Markdown,124725,233,1,2024-08-22T19:02:32Z,829,456,0.5500603136308806,4,0
next.js,2016-10-05T23:32:51Z,JavaScript,124225,17954,1000,2024-08-22T22:46:22Z,21009,18140,0.8634394783188157,8,-1
go,2014-08-19T04:33:40Z,Go,122135,1,0,2024-08-22T22:42:01Z,63012,53916,0.8556465435155208,10,-1
30-seconds-of-code,2017-11-29T17:35:03Z,JavaScript,120824,817,10,2024-08-22T20:15:27Z,294,294,1.0,7,-1
react-native,2015-01-09T18:10:16Z,C++,117687,848,336,2024-08-22T22:20:20Z,25970,25377,0.9771659607239122,9,-1
tech-interview-handbook,2016-07-05T05:00:48Z,TypeScript,115620,459,0,2024-08-22T22:01:49Z,93,62,0.6666666666666666,8,-1
electron,2013-04-12T01:47:36Z,C++,113470,20064,1000,2024-08-22T22:16:29Z,19968,19112,0.9571314102564102,11,-1
free-programming-books-zh_CN,2013-11-04T01:59:19Z,Unknown,110895,282,3,2024-08-22T16:10:04Z,0,0,,11,0
kubernetes,2014-06-06T22:56:04Z,Go,109333,59173,690,2024-08-22T22:16:24Z,45651,43794,0.9593218111322862,10,-1
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,HTML,108316,117,0,2024-08-22T22:00:23Z,0,0,,2,-1
d3,2010-09-27T17:22:42Z,Shell,108313,485,194,2024-08-22T22:16:19Z,2198,2192,0.997270245677889,14,-1
PowerToys,2019-05-01T17:44:02Z,C#,108242,4769,101,2024-08-22T22:31:09Z,28817,22916,0.7952250407745428,5,-1
scrcpy,2017-11-21T18:00:27Z,C,107789,85,39,2024-08-22T22:33:17Z,4674,2752,0.5887890457851946,7,-1
node,2014-11-26T19:57:11Z,JavaScript,106138,8602,404,2024-08-22T22:16:51Z,18022,16438,0.9121074242592387,10,-1
axios,2014-08-18T22:30:27Z,JavaScript,105065,860,81,2024-08-22T21:21:02Z,4656,4026,0.8646907216494846,10,-1
create-react-app,2016-07-17T14:55:11Z,JavaScript,102415,1944,83,2024-08-22T21:53:23Z,8299,6545,0.788649234847572,8,-1
three.js,2010-03-23T18:58:01Z,JavaScript,101248,12845,159,2024-08-22T22:16:07Z,12474,12081,0.9684944684944685,14,-1
TypeScript,2014-06-17T15:28:39Z,TypeScript,99777,14304,198,2024-08-22T22:16:05Z,40672,35458,0.8718036978756885,10,-1
nodebestpractices,2017-09-15T08:33:19Z,Dockerfile,98915,765,0,2024-08-22T21:54:09Z,321,283,0.881619937694704,7,-1
GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,Java,97535,0,0,2024-08-22T19:11:09Z,335,157,0.46865671641791046,5,0
rust,2010-06-16T20:39:03Z,Rust,96193,57183,128,2024-08-22T22:15:59Z,54003,44465,0.8233801825824492,14,-1
angular,2014-09-18T16:12:01Z,TypeScript,95559,3609,354,2024-08-22T22:43:14Z,27888,26489,0.9498350545037292,10,-1
terminal,2017-08-11T18:38:22Z,C++,94712,3860,117,2024-08-22T21:00:28Z,12597,11108,0.8817972533142812,7,-1
deno,2018-05-15T01:34:26Z,Rust,93738,11155,290,2024-08-22T22:43:29Z,10541,8667,0.8222180058817949,6,-1
hello-algo,2022-11-04T11:08:34Z,Java,93549,839,8,2024-08-22T18:34:04Z,205,196,0.9560975609756097,2,0
material-ui,2014-08-18T19:11:54Z,TypeScript,93015,18801,488,2024-08-22T22:15:45Z,19215,17520,0.9117876658860266,10,-1
Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,Batchfile,91788,5,15,2024-08-22T22:38:45Z,379,376,0.9920844327176781,4,-1
ant-design,2015-04-24T15:37:24Z,TypeScript,91636,14132,664,2024-08-22T22:32:18Z,29960,28821,0.9619826435246996,9,-1
langchain,2022-10-17T02:58:36Z,Jupyter Notebook,91069,11303,539,2024-08-22T22:29:52Z,7430,6809,0.9164199192462988,2,-1
